Constituency,Category,Winner,Winner party,Winner votes,Winner vote share %,Runner-up,Runner-up party,Runner-up votes,Margin (votes),Margin %,Turnout %
Purbasthali,,Subrata Bhowal,CPM,63026,47.52,Ansar Mondal,AITC,48281,14745,11.12,79.76
Pursurah,,Nimai Mal,CPM,89211,66.86,Sk. Parvez Rahman,AITC,37994,51217,38.39,84.86
Purulia,,Nikhil Mukherjee,CPM,57124,48.78,Kamakshya Prasad Singh Deo,AITC,51615,5509,4.70,68.12
Raghunathpur,SC,Uma Rani Bouri,CPM,45912,51.71,Magaram Bouri,AITC,32684,13228,14.90,65.42
Raiganj,,Chittaranjan Roy,INC,66555,46.36,Harinarayan Roy,CPM,56870,9685,6.75,77.99
Raina,SC,Shyama Prosad Pal,CPM,78297,61.13,Arup Kumar Das,AITC,38753,39544,30.87,80.66
Raipur,ST,Upen Kisku,CPM,66973,56.38,Kshetra Mohan Hansda,IND,30217,36756,30.94,74.36
Rajarhat,SC,Tanmoy Mondal,AITC,96394,46.93,Rabindra Nath Mandal,CPM,95246,1148,0.56,77.69
Rajganj,SC,Jotindra Nath Roy,CPM,85519,46.36,Khageswar Roy,AITC,61591,23928,12.97,72.97
Rajnagar,SC,Bijoy Bagdi,FBL,53898,54.85,Ashima Dhibar,AITC,32299,21599,21.98,66.72
Ramnagar,,Akhil Giri,AITC,71079,50.73,Samares Das,CPM,64528,6551,4.68,83.02
Rampurhat,,Asish Banerjee,AITC,58674,50.37,Md. Hannan,FBL,47717,10957,9.41,75.46
Ranaghat East,SC,Asim Bala,CPM,75973,45.33,Dr. Ramendra Nath Biswas,AITC,71630,4343,2.59,81.44
Ranaghat West,,Sankar Singha,INC,81058,52.00,Jyotirmoyee Sikdar,CPM,65347,15711,10.08,85.05
Ranibandh,ST,Makar Tudu,CPM,54186,57.77,Gopinath Saren,JMM,19445,34741,37.04,64.91
Raniganj,,Bansa Gopal Chowdhury,CPM,84264,72.72,Sampa Sarkar,INC,21688,62576,54.01,69.07
Rashbehari Avenue,,Sobhandeb Chattopadhyay,AITC,41562,64.33,Sitaram Behani,JD(S),14174,27388,42.39,52.11
Ratua,,Sailen Sarkar,CPM,55125,50.31,Samar Mukherjee,INC,46740,8385,7.65,78.53
Sabang,,Tushar Kanti Laya,CPM,62611,51.15,Manas Ranjan Bhunia,INC,56354,6257,5.11,91.15
Sagar,,Bankim Chandra Hazra,AITC,70086,48.40,Pravanjan Mondal,CPM,69512,574,0.40,88.16
Sagardighi,,Das Paresh Nath,CPM,53883,48.40,Rajesh Kumar Bhakat,AITC,51253,2630,2.36,76.67
Salbani,,Khagendra Nath Mahata,CPM,62601,55.31,Dinen Roy,AITC,39146,23455,20.72,83.22
Sandeshkhali,ST,Kanti Biswas,CPM,65214,54.53,Ranjit Kumar Das,AITC,38110,27104,22.66,79.59
Sankrail,SC,Sital Kumar Sardar,AITC,67304,49.04,Bikash Mondal (Vill Raghudevbati),CPM,59622,7682,5.60,69.62
Santipur,,Ajoy Dey,INC,69117,42.99,Badal Basak,IND,47541,21576,13.42,83.84
Satgachhia,,Sonali Guha,AITC,56325,46.65,Gokul Bairagi,CPM,50314,6011,4.98,76.13
Sealdah,,Somendra Nath Mitra,INC,27877,64.29,Chanchal Ghosh,CPI,12186,15691,36.19,50.98
Shibpur,,Jatu Lahiri,AITC,105921,51.05,Nepal Kanti Bhattacharjee,FBL,92703,13218,6.37,70.98
Shyampukur,,Subrata Bose,FBL,30602,49.90,Pulak Chandra Das,AITC,27277,3325,5.42,66.76
Shyampur,,Kalipada Mandal,AITC,63471,50.60,Jaladhar Samanta,FBL,56104,7367,5.87,78.56
Siliguri,,Asok Bhattacharya,CPM,88110,48.03,Prasanta Nandy,AITC,65229,22881,12.47,64.53
Singur,,Rabindranath Bhattacharya,AITC,69047,49.45,Bidyut Kumar Das,CPM,64277,4770,3.42,80.68
Sitai,SC,Nripendra Nath Roy,FBL,66717,47.31,Dr. Md Fazle Haque,INC,60437,6280,4.45,80.20
Sitalkuchi,SC,Sudhir Pramanik,CPM,74907,57.61,Birendra Narayan Barma,INC,29345,45562,35.04,86.56
Sonamukhi,SC,Khan Sukhendu,CPM,63702,54.02,Dipali Saha,AITC,44751,18951,16.07,80.74
Sonarpur,SC,Nirmal Chandra Mandal,AITC,99893,49.07,Abha Mandal,CPM,91829,8064,3.96,74.24
Sreerampur,,Ratna De (Nag),AITC,35905,35.02,Kesto Mukherjee,IND,30547,5358,5.23,59.29
Suri,,Braja Mukherjee,CPM,60860,46.00,Suniti Chattaraj,AITC,59408,1452,1.10,75.34
Sutahata,SC,Nityanand Bera,CPM,84845,48.86,Tushar Kanti Mondal,AITC,81709,3136,1.81,85.61
Suti,,Jane Alam Mian,RSP,45368,38.93,Md. Sahrab,IND,40748,4620,3.96,74.97
Suzapur,,Rubi Noor,INC,54836,53.01,Abdur Rauf,CPM,43256,11580,11.20,76.50
Swarupnagar,SC,Mustafa Bin Quasem,CPM,58046,45.30,Swaraj Misra,AITC,51463,6583,5.14,80.89
Taldangra,,Monoranjan Patra,CPM,78703,61.27,Dilip Panda,AITC,38964,39739,30.94,79.96
Taltola,SC,Debesh Das,CPM,37023,47.01,Dilip Kumar Das,AITC,36189,834,1.06,57.06
Tamluk,,Nirbed Roy,AITC,69630,49.78,Santosh Rana,CPI,62184,7446,5.32,86.69
Tapan,ST,Khara Soren,RSP,58892,49.34,Antony Uraw,AITC,49993,8899,7.46,82.64
Tarakeswar,,Pratim Chatterjee,IND,69186,54.55,Mohan Ghosh,INC,40274,28912,22.80,83.04
Titagarh,,Pravin Kr. Shaw,CPM,53500,55.42,Ashok Shukla,AITC,37254,16246,16.83,77.12
Tollygunge,,Pankaj Banerjee,AITC,50124,49.74,Goutam Banerjee,CPM,44593,5531,5.49,66.86
Tufanganj,,Pushpa Chandra Das,CPM,70909,58.52,Sachindra Chandra Das,AITC,35224,35685,29.45,82.56
Udaynarayanpur,,Chowdhury Nonigopal,CPM,66269,54.84,Sukhendu Sekhar Roy,AITC,48372,17897,14.81,78.76
Ukhra,SC,Madan Bauri,CPM,73186,52.14,Nirmal Maji,AITC,57553,15633,11.14,56.79
Uluberia North,SC,Mohon Mondal,CPM,55931,47.41,Ram Janam Manjhi,AITC,48710,7221,6.12,67.11
Uluberia South,,Rabindra Ghosh,FBL,60878,50.84,Bani Kumar Singha,AITC,48356,12522,10.46,72.03
Uttarpara,,Prof. Swaraj Mukherjee,AITC,71699,48.26,Jyoti Krishna Chattopadhyay,CPM,69931,1768,1.19,69.98
Vidyasagar,,Lakshmi Kanta Dey,CPM,33994,51.55,Mahua Mondal,AITC,30103,3891,5.90,54.76
Vishnupur,,Jayanta Chowdhury,CPM,65198,55.28,Subhasish Batabyal,AITC,38604,26594,22.55,77.77
