Constituency,Category,Winner,Winner party,Winner votes,Winner vote share %,Runner-up,Runner-up party,Runner-up votes,Margin (votes),Margin %,Turnout %
Falta,,Chandana Ghoshdostidar,CPI(M),51814,45.70,Tamonash Ghosh,AITC,50060,1754,1.55,81.54
Farakka,,Mainul Haque,INC,59682,49.05,Abdus Salam,CPI(M),53142,6540,5.38,84.20
Gaighata,SC,Jyoti Priya Mallick,AITC,93811,48.27,Monmatha Roy,CPI(M),88992,4819,2.48,89.01
Gajol,ST,Sadhu Tudu,CPI(M),68942,51.43,Jatin Hansda,INC,33847,35095,26.18,84.04
Galsi,SC,Mehbub Mondal,AIFB,85098,67.68,Anil Kumar Saha,BJP,26682,58416,46.46,83.10
Gangajalghati,SC,Angad Bauri,CPI(M),67319,58.11,Swapan Bauri,AITC,37158,30161,26.03,78.85
Gangarampur,SC,Narayan Biswas,CPI(M),90393,52.20,Biplab Mitra,AITC,69576,20817,12.02,89.85
Garden Reach,,Abdul Khaleque Molla,INC,45557,48.42,Amin Mohammed,CPI(M),36683,8874,9.43,60.70
Garhbeta East,,Ghosh Susanta,CPI(M),93599,69.80,Md. Rofique,AITC,32175,61424,45.80,92.91
Garhbeta West,SC,Krishna Prasad Duley,CPI(M),88101,63.80,Tapas Saha,BJP,33828,54273,39.30,91.57
Ghatal,SC,Ratan Pakhira,CPI(M),80349,59.31,Ayan Dolui,BJP,29462,50887,37.56,82.68
Goalpokhar,,Deepa Dasmunsi,INC,63784,49.68,Hafiz Alam Sairani,AIFB,55474,8310,6.47,75.83
Goghat,SC,Niranjan Pandit,AIFB,111228,69.76,Bishnupada Pakhira,AITC,38027,73201,45.91,91.00
Gopiballavpur,,Rabi Lal Maitra,CPI(M),78953,63.33,Swapan Patra,AITC,27488,51465,41.28,85.16
Gosaba,SC,Chitta Ranjan Mandal,RSP,57594,48.69,Jayanta Naskar,AITC,51110,6484,5.48,84.36
Habibpur,ST,Khagen Murmu,CPI(M),56477,45.67,Ramlal Hansda,BJP,47283,9194,7.43,83.50
Habra,,Pranab Kumar Bhattacharyya,CPI(M),79166,46.10,Tapati Datta,AITC,51071,28095,16.36,87.01
Hansan,,Asit Kumar Mal,INC,60314,50.90,Khagendra Nath Mal,CPI(M),50824,9490,8.01,85.52
Hanskhali,SC,Nayan Sarkar,CPI(M),84328,47.86,Dr. Ramendra Nath Biswas,AITC,81307,3021,1.71,88.98
Haora,,Asim Kumar Das,CPI(M),80322,55.43,Mrityunjoy Mondal,AITC,47798,32524,22.44,87.27
Hariharpara,,Insar Ali Biswas,CPI(M),68862,45.14,Niamot Sheikh,INC,68765,97,0.06,87.26
Haringhata,SC,Bankim Chandra Ghosh,CPI(M),95524,51.90,Dipak Basu,AITC,68058,27466,14.92,89.63
Haripal,,Bharati Mukherjee,CPI(M),68479,52.99,Safiul Islam Sarkar,AITC,49424,19055,14.75,81.34
Harishchandrapur,,Tajmul Hossain,AIFB,62021,46.68,Alam Mostaque,INC,60019,2002,1.51,83.47
Hasnabad,,Goutam Deb,CPI(M),57994,47.35,Islam Rafikul Mondal,AITC,41385,16609,13.56,86.35
Hingalganj,SC,Gopal Gayen,CPI(M),66171,51.42,Debes Mandal,AITC,54098,12073,9.38,87.62
Hirapur,,Amitava Mukhopadhyay,CPI(M),44238,47.83,Ghatak Moloy,AITC,41634,2604,2.82,68.02
Howrah Central,,Arup Ray (Tukun),CPI(M),35657,42.29,Ambica Banerjee,AITC,28988,6669,7.91,73.69
Howrah North,,Lagan Deo Singh,CPI(M),52361,53.80,Bani Singha Roy,AITC,21459,30902,31.75,66.29
Howrah South,,Krishna Kisor Ray (K.K.Ray),CPI(M),40493,48.06,Amitava Datta,JD(U),17487,23006,27.30,64.20
Hura,,Subhas Chandra Mahata,CPI(M),53566,48.92,Baghambar Mahato,AITC,31476,22090,20.17,78.29
Indas,SC,Mahadeb Patra,CPI(M),86056,64.05,Digar Basudeb,AITC,34491,51565,38.38,87.46
Indpur,SC,Indrajit Tangi,CPI,66775,58.84,Gour Chandra Lohar,BJP,32839,33936,29.91,80.88
Islampur,,Md. Faruque,CPI(M),55240,45.21,Abdul Karim Chowdhary,AITC,47828,7412,6.07,75.41
Itahar,,Srikumar Mukherjee,CPI,66768,46.09,Amal Acharjee,INC,66028,740,0.51,86.97
Jadavpur,,Buddhadeb Bhattacharjee,CPI(M),127837,61.25,Dipak Kumar Ghosh,AITC,69707,58130,27.85,75.93
Jagatballavpur,,Biplab Majumdar,CPI(M),72161,48.76,Biman Chakraborti,AITC,60752,11409,7.71,80.05
Jagatdal,,Haripada Biswas,AIFB,64536,47.39,Rahul (Biswajit) Sinha,BJP,54796,9740,7.15,81.99
Jaipur,,Bindeswar Mahato,AIFB,54427,46.54,Shantiram Mahato,INC,52188,2239,1.91,77.49
Jalangi,,Unus Sarkar,CPI(M),84109,51.16,Subrata Saha,INC,71822,12287,7.47,90.49
Jalpaiguri,SC,Deba Prasad Roy,INC,54051,44.57,Gobinda Roy,AIFB,53033,1018,0.84,83.78
Jamalpur,SC,Samar Hazra,IND,94568,63.61,Sankar Chandra Mallick,AITC,41517,53051,35.68,88.20
Jamuria,,Dhirajlal Hazra,CPI(M),71999,68.80,Tapan Chakraborty,AITC,17226,54773,52.34,71.66
Jangipara,,Sudarsan Raychaudhuri,CPI(M),79418,57.57,Ehsanul Haque Kazi (Badsha),AITC,50645,28773,20.86,82.37
Jangipur,,Abul Hasnat,RSP,61526,48.85,Habibur Rahaman,INC,48029,13497,10.72,80.87
Jhalda,,Nepal Mahata,INC,59594,51.48,Ashim Singha,AIFB,41535,18059,15.60,79.89
Jhargram,,Amar Basu,CPI(M),74300,54.82,Shivendra Bijoy Malladeb,INC,34299,40001,29.51,78.77
Jorabagan,,Parimal Biswas,CPI(M),21739,48.62,Sanjoy Bakshi,AITC,15030,6709,15.01,55.19
Jorasanko,,Dinesh Bajaj,AITC,14162,41.24,Shyam Sundar Gupta,AIFB,13343,819,2.38,50.91
Joynagar,,Debaprasad Sarkar,IND,59749,45.64,Asish Ghosh,CPI(M),46263,13486,10.30,79.83
Kabitirtha,,Ram Pyare Ram,INC,40280,50.48,Moinuddin Shams,AIFB,30923,9357,11.73,53.30
Kakdwip,,Ashok Giri,CPI(M),65749,49.44,Manturam Pakhira,AITC,57333,8416,6.33,88.18
Kalchini,ST,Manohar Tirkey,RSP,52748,46.09,Paban Kumar Lakra,INC,47759,4989,4.36,82.82
Kaliachak,,Biswanath Ghosh,CPI(M),70766,46.91,Abu Hasem Khan Choudhury,INC,68789,1977,1.31,83.69
Kaliaganj,SC,Nani Gopal Roy,CPI(M),69626,44.97,Pramatha Nath Ray,INC,67344,2282,1.47,88.46
Kaliganj,,Dhananjoy Modak,RSP,57006,43.26,Nasiruddin Ahmed (Lal),AITC,53245,3761,2.85,81.76
Kalimpong,,Gaulan Lepcha,GNLF,57854,56.32,Norden Lama,IND,32043,25811,25.13,68.13
Kalna,SC,Anjali Mondal,CPI(M),90046,59.74,Asis Chakraborty,AITC,42999,47047,31.21,89.36
Kalyanpur,,Rabindra Nath Mitra,CPI(M),58408,48.40,Asit Mitra,INC,54320,4088,3.39,80.24
Kamarhati,,Manash Mukherjee,CPI(M),71322,56.40,Subhrangshu Bhattacharya,AITC,40634,30688,24.27,77.25
Kandi,,Apurba Sarkar (David),IND,50157,34.87,Abdul Hamid,CPI,47525,2632,1.83,81.69
Kanksa,SC,Ankure Saresh,CPI(M),87937,65.68,Lakshi Narayan Saha,AITC,33150,54787,40.92,82.46
Karandighi,,Gokul Roy,AIFB,71430,45.07,Hazi Sajjad Hussain,INC,66995,4435,2.80,80.31
Karimpur,,Prafulla Kumar Bhowmick,CPI(M),74036,47.18,Arabinda Mandal,INC,54161,19875,12.66,89.86
Kashipur,,Rabindra Nath Hembram,CPI(M),56208,56.08,Anath Bandhu Patar,AITC,29362,26846,26.78,76.97
Katwa,,Chatterjee Rabindranath,INC,76806,48.41,Sudipta Bagchi,CPI(M),71401,5405,3.41,85.97
Keshiari,ST,Maheswar Murmu,CPI(M),88763,63.46,Shyam Charan Mandi,AITC,34903,53860,38.51,88.51
Keshpur,SC,Rameswar Doloi,CPI(M),101908,70.45,Asis Pramanik,AITC,35742,66166,45.74,90.88
Ketugram,,Tamal Chandra Majhi,CPI(M),77751,59.34,Amar Ram,INC,44575,33176,25.32,84.11
Khajuri,SC,Swadesh Patra,WBSP,73317,57.82,Dr. Partha Pratim Das,AITC,49936,23381,18.44,92.32
Khanakul,,Banshi Badan Maitra,CPI(M),83584,57.02,Kalyani Maji,AITC,52261,31323,21.37,84.58
Khandaghosh,SC,Prasanta Majhi,CPI(M),89701,68.64,Biswanath Roy,AITC,30815,58886,45.06,88.84
Kharagpur Rural,,Haque Nazmul,CPI(M),77775,53.96,Ajit Maity,AITC,44124,33651,23.35,80.48
Kharagpur Sadar,,Gyan Singh Sohanpal,INC,30528,38.68,Prem Chandra Jha,RJD,21553,8975,11.37,59.27
Kharba,,Mahabubul Haque(Badal),INC,66877,50.63,Anjumanara,CPI(M),56690,10187,7.71,85.46
Khardah,,Asim Kumar Dasgupta,CPI(M),102995,56.58,Mahadeb Basak,BJP,60690,42305,23.24,85.68
Khargram,SC,Manabendranath Saha,CPI(M),66736,49.11,Ashis Marjit,INC,61335,5401,3.97,84.63
Kotulpur,,Kalpana Koley,CPI(M),95146,64.73,Sen Maumdar Aloka,AITC,40974,54172,36.86,91.27
Kranti,,Fazlul Karim,CPI(M),63153,53.79,Atul Roy,IND,19974,43179,36.78,84.93
Krishnaganj,SC,Binay Krishna Biswas,CPI(M),64391,46.79,Sushil Biswas,AITC,59353,5038,3.66,89.38
Krishnagar East,,Ghosh Subinay (Bhajan),CPI(M),69380,44.93,Dr. Ramendra Nath Sarkar,AITC,68823,557,0.36,86.21
