Constituency,Category,Winner,Winner party,Winner votes,Winner vote share %,Runner-up,Runner-up party,Runner-up votes,Margin (votes),Margin %,Turnout %
Purulia,,K.P. Singh Deo,AITC,83396,53.95,Kaushik Mazumdar,CPM,56909,26487,17.13,80.09
Raghunathganj,,Akhruzzaman,INC,74683,50.99,Abul Hasnat,RSP,59143,15540,10.61,86.75
Raghunathpur,SC,Purna Chandra Bauri,AITC,78096,48.34,Dipali Bauri,CPM,65353,12743,7.89,81.42
Raidighi,,Debasree Roy,AITC,93236,49.76,Kanti Ganguly,CPM,87683,5553,2.96,90.46
Raiganj,,Mohit Sengupta,INC,62864,49.69,Kiranmay Nanda,SP,57455,5409,4.28,84.56
Raina,SC,Khan Basudeb,CPM,98897,51.12,Nepal Ghorui,AITC,86676,12221,6.32,92.24
Raipur,ST,Upen Kisku,CPM,69008,44.38,Pramila Murmu,AITC,68826,182,0.12,87.19
Rajarhat Gopalpur,,Purnendu Basu,AITC,89829,59.76,Rabindra Nath Mandal,CPM,54104,35725,23.76,77.99
Rajarhat New Town,,Sabyasachi Dutta,AITC,80738,49.23,Tapash Chatterjee,CPM,72991,7747,4.72,89.09
Rajganj,SC,Khageswar Roy,AITC,74546,46.64,Amulya Kumar Roy,CPM,67526,7020,4.39,89.53
Ramnagar,,Akhil Giri,AITC,93801,52.56,Swadesh Ranjan Nayak,CPM,77242,16559,9.28,87.61
Rampurhat,,Asish Banerjee,AITC,75066,45.80,Rebati Bhattacharya,AIFB,64828,10238,6.25,86.22
Ranaghat Dakshin,SC,Abir Ranjan Biswas,AITC,99432,51.23,Aloke Kumar Das,CPM,79824,19608,10.10,87.26
Ranaghat Uttar Paschim,,Partha Sarathi Chatterjee (Babu),AITC,101395,54.41,Bhattacharya Mina,CPM,74051,27344,14.67,88.09
Ranaghat Uttar Purba,SC,Samir Kumar Poddar,AITC,93836,55.03,Archana Biswas,CPM,62644,31192,18.29,84.75
Ranibandh,ST,Debalina Hembram,CPM,75388,44.25,Falguni Hembram,AITC,68529,6859,4.03,84.77
Raniganj,,Ali Sohrab,AITC,73810,47.83,Runu Dutta,CPM,72059,1751,1.13,78.28
Raninagar,,Firoza Begam,INC,76092,46.45,Mst. Maksuda Begum,AIFB,75003,1089,0.66,87.79
Rashbehari Avenue,,Sobhandeb Chattopadhyay,AITC,88892,65.55,Shantanu Basu,CPM,38998,49894,36.79,67.66
Ratua,,Samar Mukherjee,INC,74936,48.34,Sailen Sarkar,CPM,68075,6861,4.43,80.39
Rejinagar,,Humayun Kabir,INC,77542,49.74,Sirajul Islam Mondal,RSP,68781,8761,5.62,82.42
Sabang,,Manas Ranjan Bhunia,INC,98755,51.25,Rampada Sahoo,CPM,85571,13184,6.84,93.33
Sagar,,Bankim Chandra Hazra,AITC,94264,50.39,Milan Parua,CPM,86115,8149,4.36,91.87
Sagardighi,,Subrata Saha,AITC,54708,38.02,Ismail Sekh,CPM,50134,4574,3.18,85.57
Sainthia,SC,Dhiren Bagdi,CPM,77512,46.91,Parikshit Bala,AITC,73194,4318,2.61,86.99
Salboni,,Srikanta Mahata,AITC,92082,47.54,Abhiram Mahata,CPM,87727,4355,2.25,92.89
Saltora,SC,Swapan Bouri,AITC,82597,50.60,Sasthi Charan Bauri,CPM,69900,12697,7.78,86.55
Samserganj,,Touab Ali,CPM,61138,46.43,Mousumi Begum,INC,53349,7789,5.92,86.34
Sandeshkhali,ST,Nirapada Sardar,CPM,66815,43.21,Srimati Padma Mahato,AITC,62583,4232,2.74,89.69
Sankrail,SC,Sital Kumar Sardar,AITC,88029,51.21,Dr. Anirban Hazra,CPM,70172,17857,10.39,81.33
Santipur,,Ajoy Dey,INC,98902,57.77,Iyar Mallik,RCPI(R),60744,38158,22.29,89.80
Saptagram,,Tapan Dasgupta,AITC,90289,56.51,Ashutosh Mukhopadhyay,CPM,59421,30868,19.32,85.50
Satgachhia,,Sonali Guha (Bose),AITC,93902,51.18,Barun Naskar,CPM,75792,18110,9.87,85.34
Shibpur,,Jatu Lahiri,AITC,100739,61.83,Jagannath Bhattacharyya,AIFB,54335,46404,28.48,82.29
Shyampukur,,Dr. Shashi Panja,AITC,72904,57.97,Jiban Prakash Saha,AIFB,45868,27036,21.50,67.66
Shyampur,,Kalipada Mandal,AITC,99501,56.64,Minati Pramanik,AIFB,64882,34619,19.71,84.11
Siliguri,,Rudra Nath Bhattacharya,AITC,72019,48.07,Asok Bhattacharya,CPM,67013,5006,3.34,81.28
Singur,,Rabindranath Bhattacharya,AITC,100869,57.61,Dr. Asit Das,CPM,66058,34811,19.88,85.16
Sitai,SC,Keshab Ch. Ray,INC,79791,46.67,Dipak Kumar Roy,AIFB,78214,1577,0.92,81.57
Sitalkuchi,SC,Hiten Barman,AITC,84651,44.22,Biswanath Pramanik,CPM,84394,257,0.13,88.42
Sonamukhi,SC,Dipali Saha,AITC,82199,49.80,Chongre Manoranjan,CPM,74910,7289,4.42,91.48
Sonarpur Dakshin,,Jiban Mukhopadhyay,AITC,100243,59.03,Tarit Chakraborty(Saheb),CPI,62469,37774,22.24,83.73
Sonarpur Uttar,,Firdousi Begum,AITC,89841,55.40,Shyamal Naskar,CPM,63817,26024,16.05,82.05
Sreerampur,,Dr. Sudipto Roy,AITC,97540,63.83,Partha Sarathi Rej,CPI,45849,51691,33.83,73.54
Sujapur,,Abu Nasar Khan Choudhury,INC,70640,52.75,Hazi Ketabuddin,CPM,53279,17361,12.96,78.14
Suri,,Swapan Kanti Ghosh,AITC,88244,51.57,Abdul Gaffar,CPM,69127,19117,11.17,85.98
Suti,,Emani Biswas,INC,73465,48.87,Jane Alam Mian,RSP,56056,17409,11.58,85.94
Swarupnagar,SC,Bina Mondal,AITC,83641,48.94,Siva Pada Das,CPM,76227,7414,4.34,87.19
Taldangra,,Manoranjan Patra,CPM,74779,47.59,Arun Kumar Pathak,INC,67614,7165,4.56,87.41
Tamluk,,Saumen Kumar Mahapatra,AITC,99765,52.82,Jagannath Mitra,CPI,79089,20676,10.95,89.96
Tapan,ST,Bachchu Hansda,AITC,72643,51.61,Khara Soren,RSP,53986,18657,13.26,89.59
Tarakeswar,,Rachhpal Singh,AITC,97022,55.10,Pratim Chatterjee,CPM,71550,25472,14.47,89.21
Tehatta,,Ranjit Kumar Mandal,CPM,75445,42.78,Tapas Kumar Saha,IND,56248,19197,10.89,88.41
Tollygunge,,Aroop Biswas,AITC,102743,56.17,Partha Pratim Biswas,CPM,75063,27680,15.13,78.03
Tufanganj,,Arghya Roy Pradhan,AITC,73721,45.02,Dhananjoy Rava,CPM,67539,6182,3.78,89.37
Udaynarayanpur,,Samir Kumar Panja,AITC,91879,55.11,Chandralekha Bag,CPM,67988,23891,14.33,87.40
Uluberia Dakshin,,Pulak Roy,AITC,73734,49.48,Ahmed Kutubuddin Sk.,AIFB,61902,11832,7.94,85.36
Uluberia Purba,,Haider Aziz Safwi,AITC,68975,46.48,Mohan Mondal,CPM,49391,19584,13.20,83.88
Uluberia Uttar,SC,Dr. Nirmal Maji,AITC,76469,52.45,Ghuku Bhim,CPM,58021,18448,12.65,85.39
Uttarpara,,Anup Ghosal,AITC,104753,59.77,Prof. Dr. Srutinath Praharaj,CPM,61560,43193,24.64,80.73
