Constituency,Category,Winner,Winner party,Winner votes,Winner vote share %,Runner-up,Runner-up party,Runner-up votes,Margin (votes),Margin %,Turnout %
Pingla,,Saumen Kumar Mahapatra,AITC,104416,50.90,Prabodh Chandra Sinha,DSP(P),80198,24218,11.81,89.53
Purbasthali Dakshin,,Swapan Debnath,AITC,104398,53.37,Abhijit Bhattacharyya,INC,66732,37666,19.25,87.67
Purbasthali Uttar,,Pradip Kumar Saha,CPI(M),84549,43.72,Tapan Chatterjee,AITC,81721,2828,1.46,86.35
Pursurah,,Dr. M. Nuruzzaman,AITC,105275,52.02,Pratim Singha Roy,INC,76148,29127,14.39,84.95
Purulia,,Sudip Kumar Mukherjee,INC,81365,45.32,Dibyajyoti Prasad Singh Deo,AITC,76454,4911,2.74,79.20
Raghunathganj,,Akhruzzaman,INC,78497,47.96,Abul Kasem Molla,AITC,54711,23786,14.53,78.98
Raghunathpur,SC,Purna Chandra Bauri,AITC,83688,44.58,Satyanarayan Bauri,CPI(M),67546,16142,8.60,80.29
Raidighi,,Debasree Roy,AITC,101161,46.85,Kanti Ganguly,CPI(M),99932,1229,0.57,89.12
Raiganj,,Mohit Sengupta,INC,87983,59.78,Purnendu Dey (Bablu),AITC,36736,51247,34.82,82.83
Raina,SC,Nepal Ghorui,AITC,94323,46.51,Khan Basudeb,CPI(M),93875,448,0.22,86.38
Raipur,ST,Birendra Nath Tudu,AITC,89841,51.60,Dilip Kumar Hansda,CPI(M),63119,26722,15.35,85.20
Rajarhat Gopalpur,,Purnendu Basu,AITC,72793,45.34,Nepaldeb Bhattacharjee,CPI(M),65919,6874,4.28,70.72
Rajarhat New Town,,Sabya Sachi Dutta,AITC,90671,46.13,Narendra Nath Chatterjee (Balai),CPI(M),81478,9193,4.68,84.15
Rajganj,SC,Khageswar Roy,AITC,89785,47.01,Satyendra Nath Mondal,CPI(M),75108,14677,7.68,88.44
Ramnagar,,Akhil Giri,AITC,107081,53.43,Tapas Sinha,CPI(M),78828,28253,14.10,83.90
Rampurhat,,Asish Banerjee,AITC,85435,44.60,Syed Siraj Jimmi,INC,64236,21199,11.07,84.25
Ranaghat Dakshin,SC,Rama Biswas,CPI(M),104159,48.32,Abir Ranjan Biswas,AITC,86906,17253,8.00,84.15
Ranaghat Uttar Paschim,,Sankar Singha,INC,109607,52.50,Parthasarathi Chatterjee (Babu),AITC,86187,23420,11.22,86.31
Ranaghat Uttar Purba,SC,Samir Kumar Poddar,AITC,93215,48.54,Babusona Sarkar,CPI(M),78243,14972,7.80,81.04
Ranibandh,ST,Jyotsna Mandi,AITC,92181,48.65,Deblina Hembram,CPI(M),68868,23313,12.30,82.18
Raniganj,,Runu Dutta,CPI(M),74995,42.98,Bano Nargis,AITC,62610,12385,7.10,76.38
Raninagar,,Firoza Begam,INC,111132,59.00,Dr. Humayun Kabir,AITC,62750,48382,25.68,84.71
Rashbehari Avenue,,Sobhandeb Chattopadhyay,AITC,60857,45.42,Ashutosh Chatterjee,INC,46304,14553,10.86,65.92
Ratua,,Samar Mukherjee,INC,96587,52.47,Shehnaz Quadery,AITC,53312,43275,23.51,77.62
Rejinagar,,Rabiul Alam Chowdhury,INC,79770,43.63,Humayun Kabir,IND,74210,5560,3.04,81.97
Sabang,,Manas Ranjan Bhunia,INC,126987,59.65,Nirmal Ghosh,AITC,77820,49167,23.09,88.49
Sagar,,Bankim Chandra Hazra,AITC,112812,52.15,Asim Kumar Mandal,CPI(M),94741,18071,8.35,89.39
Sagardighi,,Subrata Saha,AITC,44817,26.54,Aminul Islam,INC,39603,5214,3.09,82.32
Sainthia,SC,Nilabati Saha,AITC,103376,52.86,Dhiren Bagdi,CPI(M),64765,38611,19.74,86.07
Salboni,,Srikanta Mahata,AITC,120485,54.54,Shyam Sundar Pandey,CPI(M),67583,52902,23.95,89.53
Saltora,SC,Swapan Bouri,AITC,84979,47.44,Sasthi Charan Bouri,CPI(M),72456,12523,6.99,84.21
Samserganj,,Amirul Islam,AITC,48381,31.07,Touab Ali,CPI(M),46601,1780,1.14,80.68
Sandeshkhali,ST,Sukumar Mahata,AITC,96556,52.31,Nirapada Sardar,CPI(M),58366,38190,20.69,86.08
Sankrail,SC,Sital Kumar Sardar,AITC,86212,45.21,Samir Malick,CPI(M),71455,14757,7.74,78.39
Santipur,,Arindam Bhattacharya,INC,103566,52.26,Ajoy Dey,AITC,84078,19488,9.83,88.59
Saptagram,,Tapan Dasgupta,AITC,88208,49.73,Dilip Nath,INC,69641,18567,10.47,82.87
Satgachhia,,Sonali Guha (Bose),AITC,100171,48.65,Paramita Ghosh,CPI(M),82899,17272,8.39,84.52
Shibpur,,Jatu Lahiri,AITC,88076,52.83,Jagannath Bhattacharyya,FBL,61062,27014,16.20,77.17
Shyampukur,,Shashi Panja,AITC,53507,46.89,Piyali Pal,FBL,40352,13155,11.53,67.51
Shyampur,,Kalipada Mandal,AITC,108619,53.74,Amitabha Chakraborty,INC,82033,26586,13.15,85.36
Siliguri,,Asok Bhattacharya,CPI(M),78054,47.17,Bhaichung Bhutia,AITC,63982,14072,8.50,80.25
Singur,,Rabindranath Bhattacharya,AITC,96212,50.02,Rabin Deb,CPI(M),75885,20327,10.57,83.48
Sitai,SC,Jagadish Chandra Barma Basunia,AITC,103410,47.93,Keshab Chandra Ray,INC,78159,25251,11.70,82.90
Sitalkuchi,SC,Hiten Barman,AITC,101647,44.59,Namadipti Adhikary,CPI(M),86164,15483,6.79,87.87
Sonamukhi,SC,Ajit Ray,CPI(M),86125,47.26,Dipali Saha,AITC,77406,8719,4.78,86.80
Sonarpur Dakshin,,Jiban Mukhopadhyay,AITC,97455,48.52,Tarit Chakraborty,CPI,82426,15029,7.48,82.09
Sonarpur Uttar,,Firdousi Begum,AITC,101939,51.06,Jyotirmoyee Sikdar,CPI(M),77059,24880,12.46,82.04
Sreerampur,,Dr. Sudipta Roy,AITC,74995,44.55,Subhankar Sarkar,INC,65088,9907,5.89,73.47
Sujapur,,Isha Khan Choudhury,INC,97332,59.37,Abu Nasar Khan Choudhury,AITC,50252,47080,28.72,78.45
Suri,,Asok Kumar Chattopadhyay,AITC,94036,48.71,Dr. Ram Chandra Dome,CPI(M),62228,31808,16.48,82.30
Suti,,Humayun Reza,INC,84017,45.21,Emani Biswas,AITC,80067,3950,2.13,84.10
Swarupnagar,SC,Bina Mandal,AITC,93807,49.05,Dhiman Sarkar,CPI(M),81866,11941,6.24,85.50
Taldangra,,Samir Chakraborty,AITC,87236,48.41,Amiya Patra,CPI(M),73567,13669,7.59,85.56
Tamluk,,Ashok Kumar Dinda,CPI,95432,45.23,Nirbed Ray,AITC,94912,520,0.25,87.39
Tapan,ST,Bachchu Hansda,AITC,72511,43.84,Urow Raghu,RCP,68110,4401,2.66,87.02
Tarakeswar,,Rachhpal Singh,AITC,97588,51.83,Surajit Ghosh,NCP,69898,27690,14.71,85.15
Tehatta,,Gouri Sankar Dutta,AITC,97611,49.39,Ranjit Kumar Mandal,CPI(M),80215,17396,8.80,86.20
Tollygunge,,Aroop Biswas,AITC,90603,47.64,Madhuja Sen Roy,CPI(M),80707,9896,5.20,74.70
Tufanganj,,Fazal Karim Miah,AITC,85052,44.79,Shyamal Choudhury,INC,69782,15270,8.04,89.05
Udaynarayanpur,,Samir Kumar Panja,AITC,94828,52.69,Karar Saroj Ranjan,INC,71070,23758,13.20,83.47
Uluberia Dakshin,,Pulak Roy,AITC,95902,54.79,Md.Nasiruddin,FBL,60558,35344,20.19,84.76
Uluberia Purba,,Haider Aziz Safwi,AITC,72192,42.78,Sabiruddin Molla,CPI(M),55923,16269,9.64,82.42
Uluberia Uttar,SC,Dr. Nirmal Maji,AITC,79390,48.69,Amiya Kumar Mondal,INC,65208,14182,8.70,82.12
Uttarpara,,Prabir Kumar Ghosal,AITC,84918,45.97,Prof. Dr.Srutinath Praharaj,CPI(M),72918,12000,6.50,76.73
